x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],neutron_id
62.18,44.42,4.90625e-07,3.0,4.166666666667e-09, nan,112
63.0,44.6,4.921875e-07,1.0,0.0, nan,112
62.76,44.34,8.5625e-07,3.0,3.645833333333e-09, nan,114
24.02,56.22,6.875e-07,1.0,0.0, nan,117
141.19,180.86,6.046875e-07,1.0,0.0, nan,120
188.71,229.43,6.046875e-07,1.0,0.0, nan,120
23.8,55.85,6.0625e-07,1.0,0.0, nan,120
143.71,103.78,6.1875e-07,1.0,0.0, nan,120
143.78,103.39,6.75e-07,5.0,2.8125e-09, nan,121
143.87,104.2,6.75e-07,1.0,0.0, nan,121
143.77,103.14,1.08125e-06,1.0,0.0, nan,123
143.52,103.35,8.171875e-07,2.0,1.5625e-09, nan,124
143.85,103.19,5.4375e-07,6.0,1.302083333333e-09, nan,129
143.85,103.52,3.75e-07,2.0,2.34375e-09, nan,132
98.09,42.43,3.765625e-07,1.0,0.0, nan,132
147.19,185.78,3.78125e-07,2.0,7.8125e-10, nan,132
147.31,185.69,4.390625e-07,2.0,0.0, nan,134
36.07,124.96,4.40625e-07,1.0,0.0, nan,134
206.59,41.72,3.734375e-07,1.0,0.0, nan,135
138.27,107.32,3.734375e-07,4.0,1.953125e-09, nan,135
45.62,164.21,3.734375e-07,4.0,7.8125e-10, nan,135
24.62,184.07,3.75e-07,7.0,1.116071428571e-09, nan,135
185.3,143.22,3.75e-07,3.0,2.604166666667e-09, nan,135
148.4,61.22,3.75e-07,3.0,2.604166666667e-09, nan,135
24.23,184.02,3.75e-07,3.0,2.083333333333e-09, nan,135
46.44,156.19,3.75e-07,2.0,0.0, nan,135
36.66,124.32,3.75e-07,2.0,2.34375e-09, nan,135
35.06,123.76,3.765625e-07,1.0,0.0, nan,135
24.73,183.91,1.0765625e-06,2.0,7.8125e-10, nan,146
24.18,184.11,5.28125e-07,2.0,1.5625e-09, nan,148
24.6,183.78,7.953125e-07,2.0,7.8125e-10, nan,150
24.44,184.4,3.984375e-07,2.0,0.0, nan,153
96.96,57.38,3.984375e-07,5.0,6.25e-10, nan,153
97.34,57.38,3.984375e-07,2.0,7.8125e-10, nan,153
95.26,55.59,4e-07,1.0,0.0, nan,153
130.47,159.13,4e-07,2.0,3.90625e-09, nan,153
130.09,160.27,4e-07,5.0,1.25e-09, nan,153
79.17,218.36,4e-07,2.0,7.8125e-10, nan,153
129.79,160.27,4e-07,2.0,2.34375e-09, nan,153
78.35,217.63,4.015625e-07,1.0,0.0, nan,153
79.14,219.18,6.734375e-07,1.0,0.0, nan,155
78.41,218.26,5.078125e-07,1.0,0.0, nan,157
159.57,174.74,5.09375e-07,1.0,0.0, nan,157
60.92,234.74,5.09375e-07,1.0,0.0, nan,157
159.0,175.01,4.78125e-07,4.0,1.171875e-09, nan,158
186.25,224.56,3.765625e-07,4.0,2.734375e-09, nan,159
159.11,174.57,3.765625e-07,2.0,7.8125e-10, nan,159
114.14,55.53,3.78125e-07,1.0,0.0, nan,159
109.55,48.84,3.859375e-07,1.0,0.0, nan,159
155.74,46.15,5.21875e-07,1.0,0.0, nan,161
114.91,54.89,5.28125e-07,1.0,0.0, nan,161
155.62,45.16,4.421875e-07,2.0,7.8125e-10, nan,162
155.76,45.43,7.5625e-07,1.0,0.0, nan,164
155.59,45.64,4.390625e-07,4.0,1.953125e-09, nan,166
155.98,46.22,4.390625e-07,1.0,0.0, nan,166
155.56,45.45,1.0203125e-06,2.0,0.0, nan,173
155.31,46.31,1.0203125e-06,1.0,0.0, nan,173
156.1,45.38,4.140625e-07,2.0,4.6875e-09, nan,174
155.87,45.59,5.40625e-07,1.0,0.0, nan,181
155.66,45.59,8.140625e-07,3.0,0.0, nan,182
154.45,43.82,8.1875e-07,1.0,0.0, nan,182
155.75,45.61,4.796875e-07,6.0,7.8125e-10, nan,183
198.05,33.88,4.796875e-07,1.0,0.0, nan,183
107.71,94.99,6.5e-07,2.0,2.34375e-09, nan,186
76.91,202.95,6.5e-07,1.0,0.0, nan,186
96.29,69.7,6.5e-07,1.0,0.0, nan,186
51.16,41.52,3.96875e-07,4.0,2.34375e-09, nan,191
32.57,112.32,3.96875e-07,2.0,1.5625e-09, nan,191
126.71,123.08,3.96875e-07,4.0,3.515625e-09, nan,191
101.58,35.74,3.96875e-07,3.0,2.083333333333e-09, nan,191
127.92,202.16,3.984375e-07,5.0,1.25e-09, nan,191
23.67,113.54,3.984375e-07,1.0,0.0, nan,191
127.4,201.71,3.984375e-07,2.0,1.5625e-09, nan,191
122.93,54.8,4e-07,1.0,0.0, nan,191
32.73,112.57,4.359375e-07,1.0,0.0, nan,193
220.89,141.17,4.390625e-07,1.0,0.0, nan,193
216.57,143.1,4.40625e-07,2.0,1.5625e-09, nan,193
229.65,141.23,7.375e-07,3.0,1.5625e-09, nan,197
219.36,142.15,7.421875e-07,1.0,0.0, nan,197
215.31,32.54,5.375e-07,10.0,1.71875e-09, nan,201
87.43,68.66,5.375e-07,7.0,2.232142857143e-09, nan,201
85.07,66.93,5.375e-07,1.0,0.0, nan,201
86.47,70.07,5.390625e-07,1.0,0.0, nan,201
32.9,191.12,5.046875e-07,4.0,1.171875e-09, nan,204
32.75,189.87,5.046875e-07,1.0,0.0, nan,204
32.98,190.98,6.375e-07,3.0,2.083333333333e-09, nan,207
33.05,191.02,3.671875e-07,1.0,0.0, nan,208
24.81,198.28,3.703125e-07,1.0,0.0, nan,208
204.44,112.06,5.5e-07,1.0,0.0, nan,209
204.73,110.99,5.53125e-07,1.0,0.0, nan,209
204.19,110.25,6.703125e-07,1.0,0.0, nan,213
205.23,111.59,6.703125e-07,3.0,1.041666666667e-09, nan,213
205.16,111.4,7.640625e-07,3.0,0.0, nan,214
190.03,71.61,7.640625e-07,2.0,1.5625e-09, nan,214
189.95,71.77,9.34375e-07,2.0,7.8125e-10, nan,220
189.82,71.08,6.15625e-07,1.0,0.0, nan,221
188.81,70.21,1.0609375e-06,2.0,3.125e-09, nan,229
49.55,25.24,5.390625e-07,1.0,0.0, nan,233
48.46,25.29,5.390625e-07,1.0,0.0, nan,233
195.02,63.7,5.40625e-07,2.0,0.0, nan,233
30.17,218.14,5.265625e-07,5.0,3.75e-09, nan,235
48.62,26.82,5.265625e-07,1.0,0.0, nan,235
49.48,24.98,5.265625e-07,2.0,7.8125e-10, nan,235
29.73,217.88,5.515625e-07,5.0,1.5625e-09, nan,237
30.04,218.27,1.1296875e-06,2.0,3.125e-09, nan,242
29.89,218.24,7.71875e-07,1.0,0.0, nan,244
176.73,101.62,7e-07,3.0,5.729166666667e-09, nan,247
159.58,96.57,7e-07,1.0,0.0, nan,247
178.27,100.64,7e-07,1.0,0.0, nan,247
29.8,218.14,7.015625e-07,2.0,2.34375e-09, nan,247
176.65,101.72,4.203125e-07,3.0,2.083333333333e-09, nan,249
96.39,214.22,4.234375e-07,1.0,0.0, nan,249
96.24,214.56,6.71875e-07,2.0,1.5625e-09, nan,250
94.77,216.96,6.765625e-07,1.0,0.0, nan,250
79.57,224.01,5.25e-07,1.0,0.0, nan,251
107.75,55.45,4.53125e-07,7.0,1.339285714286e-09, nan,254
79.44,223.2,4.53125e-07,6.0,2.864583333333e-09, nan,254
79.24,223.56,4.53125e-07,2.0,0.0, nan,254
108.59,56.87,4.53125e-07,1.0,0.0, nan,254
106.33,56.27,4.53125e-07,3.0,3.125e-09, nan,254
89.86,233.4,4.53125e-07,1.0,0.0, nan,254
149.78,164.08,6.421875e-07,3.0,2.083333333333e-09, nan,258
29.08,175.57,6.453125e-07,2.0,1.5625e-09, nan,258
106.55,56.69,6.453125e-07,1.0,0.0, nan,258
149.48,163.23,6.46875e-07,1.0,0.0, nan,258
107.98,56.39,6.515625e-07,1.0,0.0, nan,258
107.46,54.78,6.515625e-07,1.0,0.0, nan,258
150.1,163.47,6.703125e-07,1.0,0.0, nan,261
151.88,162.21,6.71875e-07,1.0,0.0, nan,261
149.54,164.87,6.734375e-07,1.0,0.0, nan,261
150.44,163.18,8.9375e-07,1.0,0.0, nan,264
159.49,35.71,8.9375e-07,2.0,7.8125e-10, nan,264
113.67,192.24,7.171875e-07,2.0,0.0, nan,265
73.01,177.48,7.1875e-07,1.0,0.0, nan,265
113.59,192.4,6.59375e-07,8.0,3.515625e-09, nan,266
139.18,52.14,3.75e-07,9.0,2.604166666667e-09, nan,268
113.62,192.48,3.75e-07,6.0,4.427083333333e-09, nan,268
139.04,52.49,3.765625e-07,3.0,0.0, nan,268
139.77,52.48,3.765625e-07,2.0,0.0, nan,268
139.28,52.37,8.75e-07,2.0,1.5625e-09, nan,274
139.54,52.46,4.21875e-07,11.0,1.988636363636e-09, nan,276
138.86,52.11,4.21875e-07,4.0,2.734375e-09, nan,276
138.86,53.05,4.21875e-07,2.0,2.34375e-09, nan,276
137.18,54.51,4.234375e-07,1.0,0.0, nan,276
138.9,52.9,8.40625e-07,2.0,7.8125e-10, nan,281
139.58,52.6,4.90625e-07,7.0,1.5625e-09, nan,282
139.17,52.47,4.90625e-07,2.0,7.8125e-10, nan,282
138.4,54.05,4.90625e-07,1.0,0.0, nan,282
60.73,31.28,4.921875e-07,4.0,2.734375e-09, nan,282
60.07,32.63,4.921875e-07,1.0,0.0, nan,282
138.34,51.07,4.921875e-07,1.0,0.0, nan,282
64.65,117.43,5.90625e-07,1.0,0.0, nan,287
60.13,31.38,5.90625e-07,1.0,0.0, nan,287
46.94,194.45,5.9375e-07,1.0,0.0, nan,287
230.17,130.96,5.171875e-07,4.0,3.125e-09, nan,293
69.6,120.97,5.171875e-07,1.0,0.0, nan,293
65.35,117.05,5.1875e-07,3.0,0.0, nan,293
137.45,126.72,5.1875e-07,1.0,0.0, nan,293
65.42,117.48,5.1875e-07,2.0,2.34375e-09, nan,293
230.82,131.48,5.1875e-07,1.0,0.0, nan,293
157.53,94.04,5.203125e-07,1.0,0.0, nan,293
139.21,128.06,5.203125e-07,2.0,5.46875e-09, nan,293
66.39,118.13,5.203125e-07,1.0,0.0, nan,293
136.85,125.88,4.5e-07,2.0,7.8125e-10, nan,296
72.48,127.6,4.5e-07,11.0,2.272727272727e-09, nan,296
139.04,127.77,4.5e-07,10.0,3.125e-09, nan,296
71.53,126.09,4.515625e-07,1.0,0.0, nan,296
74.27,126.2,4.515625e-07,1.0,0.0, nan,296
125.44,113.94,4.515625e-07,1.0,0.0, nan,296
71.94,128.16,4.515625e-07,3.0,2.083333333333e-09, nan,296
141.16,125.31,4.609375e-07,1.0,0.0, nan,296
72.19,128.0,5.421875e-07,4.0,5.859375e-09, nan,297
73.19,127.05,5.46875e-07,1.0,0.0, nan,297
71.26,127.15,5.484375e-07,1.0,0.0, nan,297
98.29,54.95,8.296875e-07,1.0,0.0, nan,304
99.6,56.14,8.3125e-07,1.0,0.0, nan,304
98.25,55.98,8.328125e-07,1.0,0.0, nan,304
96.66,57.98,8.328125e-07,1.0,0.0, nan,304
98.11,54.69,4.171875e-07,3.0,2.083333333333e-09, nan,307
99.95,55.21,4.203125e-07,1.0,0.0, nan,307
98.76,54.0,4.21875e-07,2.0,1.5625e-09, nan,307
98.63,54.98,5.890625e-07,2.0,0.0, nan,310
98.06,54.81,7.765625e-07,4.0,1.953125e-09, nan,320
93.07,83.61,7.78125e-07,2.0,4.6875e-09, nan,320
99.25,53.95,7.8125e-07,1.0,0.0, nan,320
127.57,103.31,5.875e-07,4.0,1.171875e-09, nan,332
127.51,103.6,4.90625e-07,10.0,2.8125e-09, nan,340
127.64,103.78,4.90625e-07,2.0,7.8125e-10, nan,340
51.02,44.14,4.84375e-07,8.0,2.34375e-09, nan,342
127.58,103.48,4.84375e-07,3.0,2.083333333333e-09, nan,342
219.53,169.28,4.84375e-07,1.0,0.0, nan,342
220.39,170.8,4.875e-07,1.0,0.0, nan,342
39.44,30.91,4.875e-07,1.0,0.0, nan,342
231.07,214.61,6.328125e-07,2.0,2.34375e-09, nan,344
50.92,43.76,6.328125e-07,5.0,3.75e-09, nan,344
51.36,39.33,6.34375e-07,1.0,0.0, nan,344
54.97,48.31,6.375e-07,1.0,0.0, nan,344
229.43,213.7,6.4375e-07,1.0,0.0, nan,344
152.68,182.08,5.5e-07,3.0,4.6875e-09, nan,346
152.75,181.29,5.515625e-07,3.0,8.854166666667e-09, nan,346
51.9,38.83,5.546875e-07,1.0,0.0, nan,346
152.04,180.57,5.5625e-07,1.0,0.0, nan,346
150.93,72.06,5.5625e-07,1.0,0.0, nan,346
148.8,72.27,8.75e-07,1.0,0.0, nan,349
126.46,59.17,6.109375e-07,3.0,5.208333333333e-10, nan,353
125.42,59.32,8.0625e-07,1.0,0.0, nan,365
125.99,58.69,1e-06,1.0,0.0, nan,374
126.66,58.59,3.71875e-07,1.0,0.0, nan,379
23.99,69.2,5.65625e-07,2.0,7.8125e-10, nan,383
126.18,58.96,5.65625e-07,6.0,2.083333333333e-09, nan,383
125.95,58.81,5.671875e-07,2.0,0.0, nan,383
30.83,128.83,5.671875e-07,1.0,0.0, nan,383
31.68,167.19,5.6875e-07,1.0,0.0, nan,383
33.97,165.61,4.125e-07,1.0,0.0, nan,386
175.24,146.64,4.6875e-07,8.0,3.125e-09, nan,387
175.19,146.74,1.1515625e-06,2.0,2.34375e-09, nan,390
39.32,70.08,6.296875e-07,2.0,3.125e-09, nan,404
223.72,219.53,6.296875e-07,5.0,3.75e-09, nan,404
175.34,146.42,6.3125e-07,2.0,6.25e-09, nan,404
170.33,163.73,6.328125e-07,1.0,0.0, nan,404
223.73,219.51,4.921875e-07,3.0,3.125e-09, nan,411
223.82,219.68,5.40625e-07,1.0,0.0, nan,416
223.81,219.94,9.578125e-07,1.0,0.0, nan,418
223.82,220.1,8.234375e-07,1.0,0.0, nan,422
223.8,219.7,4.578125e-07,5.0,9.375e-10, nan,424
35.21,144.21,4.59375e-07,2.0,0.0, nan,424
222.33,218.22,4.59375e-07,1.0,0.0, nan,424
95.38,121.29,5.140625e-07,4.0,1.953125e-09, nan,430
140.6,227.76,5.140625e-07,6.0,2.604166666667e-09, nan,430
